Date,Message,ID,Reply_to,Merged_Message,Crowd Level,Direction,Crowd Level new,Direction new,Comparison
16/5/2025 13:59,No jam In through egate,147864,-1,No jam In through egate,Low,Malaysia to Singapore,Low,Not related,Same
16/5/2025 13:51,On CW now bus a bit slow so queue getting slightly long,147863,-1,On CW now bus a bit slow so queue getting slightly long,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
16/5/2025 13:40,SG custom empty CW queue few lost souls,147862,-1,SG custom empty CW queue few lost souls,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
15/5/2025 23:08,Hi sorry not sure if Im allowed to ask if not pls let me know I will delete this By chance anyone know if the linkway between CIQ and RF Mall is fully working Or still blockedunder construction,147816,-1,Hi sorry not sure if Im allowed to ask if not pls let me know I will delete this By chance anyone know if the linkway between CIQ and RF Mall is fully working Or still blockedunder construction,High,Not related,Low,Not related,Different
15/5/2025 21:53,I think not alot bus,147808,-1,I think not alot bus,Low,Not related,Low,Not related,Same
15/5/2025 19:26,Kranji CW queue is long Avoid,147796,-1,Kranji CW queue is long Avoid,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
15/5/2025 13:25,departure no queue,147780,-1,departure no queue,Low,Malaysia to Singapore,Low,Not related,Same
15/5/2025 11:42,Waited for 3rd SBS bus in order to board from sg to JB,147776,-1,Waited for 3rd SBS bus in order to board from sg to JB,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
15/5/2025 11:17,bus to custom have queue,147774,-1,bus to custom have queue,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
15/5/2025 11:08,Traffic on the bridge to JB now is ok Slow but moving,147772,-1,Traffic on the bridge to JB now is ok Slow but moving,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
15/5/2025 11:00,Thanks ,147771,147770,Short queue Thanks ,Not related,Not related,Not related,Not related,Same
15/5/2025 11:00,Short queue,147770,147766,Kranji bus queue  Long  Short queue,Low,Not related,Low,Not related,Same
15/5/2025 10:40,Kranji bus queue  Long ,147766,-1,Kranji bus queue  Long ,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
15/5/2025 10:34,Starting to move but still slow Sine people alight from bus and walked,147765,-1,Starting to move but still slow Sine people alight from bus and walked,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
15/5/2025 10:25,Yesterday also long q at kanji bus stop,147763,-1,Yesterday also long q at kanji bus stop,High,Not related,High,Not related,Same
15/5/2025 10:23,Bad jam on roads by bus Bus 170x  not moving,147762,-1,Bad jam on roads by bus Bus 170x  not moving,High,Not related,High,Malaysia to Singapore,Same
14/5/2025 20:17,CW loop queue at Woodlands Checkpoint smooth today,147707,-1,CW loop queue at Woodlands Checkpoint smooth today,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
14/5/2025 19:20,Sg to jb for now custom n cw q is clear,147699,-1,Sg to jb for now custom n cw q is clear,High,Not related,Low,Singapore to Malaysia,Different
14/5/2025 19:08,Maybe btr now just now jam cuz of the lorries,147697,-1,Maybe btr now just now jam cuz of the lorries,High,Not related,High,Not related,Same
14/5/2025 18:38,Jb to sg bus lane jam,147693,-1,Jb to sg bus lane jam,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
14/5/2025 15:53,Jam started after Malaysia Custom before bridge ,147675,-1,Jam started after Malaysia Custom before bridge ,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
